SAR Strategy,# of Searcher UAVs,# of Survivors,# of Survivors rescued,Min.Time needed to rescue Survivors,Mean. Time needed to rescue Survivors,Max. Time needed to rescue Survivors,# of Survivors found,Min. Time needed to find Survivors,Mean Time needed to find Survivors,Max. Time needed to find Survivors,Running Time of Simulation,#of beacones,threshold,IdelTime(tenths of a second)
 bmuta,16,128,120,66743,337373,711320,123,16636,325939,716207,23665.3517,,,
,,,,,,,,,,,,,,
 bmuta,16,128,124,66743,346225,724677,125,16636,329538,726591,13026.0835,,,
,,,,,,,,,,,,,,
 bmuta,16,128,121,66743,339022,708485,125,16636,327276,724610,13119.6841,,,
,,,,,,,,,,,,,,
 bmuta,16,128,124,66743,352550,755051,124,16636,328355,731622,19546.9253,,,
,,,,,,,,,,,,,,
 bmuta,16,128,123,66743,347817,747749,124,16636,326194,727416,15740.5009,,,
,,,,,,,,,,,,16,4,40
 bmuta,16,128,125,280355,506123,818127,128,16636,330987,724411,41839.4682,,,
,,,,,,,,,,,,,,
 bmuta,16,128,123,280355,501044,814374,126,16636,328306,724411,26863.3722,,,
,,,,,,,,,,,,,,
 bmuta,16,128,116,280355,482741,801353,124,16636,321927,724411,17940.115,,,
,,,,,,,,,,,,,,
 bmuta,16,128,76,280355,336092,372992,125,16636,324505,724335,73991.2743,,,
,,,,,,,,,,,,,,
 bmuta,16,128,117,280355,485238,802807,123,16636,322889,724411,20514.1315,,,
,,,,,,,,,,,,,,
 bmuta,16,128,119,280355,490782,806733,121,16636,314697,724411,19328.5239,,,
,,,,,,,,,,,,,,
 bmuta,16,128,120,280355,493362,808698,124,16636,322815,724411,18314.5174,,,
,,,,,,,,,,,,,,
 bmuta,16,128,76,280355,336092,372992,125,16636,322322,724335,67486.0326,,,
,,,,,,,,,,,,,,
 bmuta,16,128,119,280355,490589,806738,126,16636,328351,724411,18236.5169,,,
,,,,,,,,,,,,,,
 bmuta,16,128,118,280355,487817,803823,123,16636,318998,722858,14960.4959,,,
,,,,,,,,,,,,16,4,80
 bmuta,16,128,76,280355,336092,372992,125,16636,324191,724335,74240.8759,,,
,,,,,,,,,,,,,,
 bmuta,16,128,118,280355,488132,805090,125,16636,324259,724411,16130.5034,,,
,,,,,,,,,,,,,,
 bmuta,16,128,76,280355,336092,372992,124,16636,321051,724335,73772.8729,,,
,,,,,,,,,,,,,,
 bmuta,16,128,76,280355,336092,372992,121,16636,314690,724335,75301.6827,,,
,,,,,,,,,,,,,,
 bmuta,16,128,121,280355,495944,810612,127,16636,330578,724411,17222.5104,,,
,,,,,,,,,,,,,,
 bmuta,16,128,119,280355,490783,807425,125,16636,326166,724411,14196.091,,,
,,,,,,,,,,,,,,
 bmuta,16,128,76,280355,336092,372992,125,16636,323117,724335,76346.8894,,,
,,,,,,,,,,,,,,
