SAR Strategy,# of Searcher UAVs,# of Survivors,# of Survivors rescued,Min.Time needed to rescue Survivors,Mean. Time needed to rescue Survivors,Max. Time needed to rescue Survivors,# of Survivors found,Min. Time needed to find Survivors,Mean Time needed to find Survivors,Max. Time needed to find Survivors,Running Time of Simulation,#of beacones,threshold,IdelTime(tenths of a second)
 liam,= 16,= 32,30,30931,425217,869709,30,30931,425217,869709,122367.1844

 bmuta,= 16,= 32,30,69216,547144,719328,32,6078,279248,554963,375619.2078

 bmuta,= 16,= 32,30,69216,547145,719320,31,6078,270489,554963,7176.046

 bmuta,= 16,= 32,29,69216,541223,719353,31,6078,270354,550773,185485.189

 bmuta,= 16,= 32,29,69216,541215,719331,31,6078,272984,554963,350846.249

 bmuta,= 16,= 32,29,69216,541212,719353,32,6078,279248,554963,7378.8473

 bmuta,= 16,= 32,27,69216,528050,719410,32,6078,279248,554963,6973.2447

 bmuta,= 16,= 32,25,69216,512803,719048,30,6078,265718,550773,7472.4479

 bmuta,= 16,= 32,30,69216,547145,719353,32,6078,279248,554963,7082.4454

 bmuta,= 16,= 32, liam,= 16,= 32, liam,= 16,= 32, bmuta,= 16,= 32, bmuta,= 16,= 32,28,69216,535129,719337,30,6078,262099,554963,24024.154

 bmuta,= 16,= 32,29,69216,541417,719405,31,6078,270489,554963,8954.4574

 bmuta,= 32,= 32,32,358239,358678,359148,32,19880,150559,293832,8299.2532

 bmuta,= 16,= 128,118,81677,406879,737233,120,3710,388928,687999,13353.6856

 bmuta,= 16,= 128,115,369871,506555,733339,120,3710,384960,662742,11216.4719

 bmuta,= 10,= 32, bmuta,= 10,= 32, bmuta,= 10,= 32,18,1143732,1144863,1147236,27,20395,514363,980153,101759.4523

 bmuta,= 10,= 64,58,4282,294675,1163105,59,2750,184565,1159963,48703.5122

 bmuta,= 10,= 64, bmuta,= 10,= 64, bmuta,= 10,= 64,59,371213,576177,1157406,60,6492,443703,1155458,231240.2823

 bmuta,= 10,= 32, bmuta,= 10,= 64, bmuta,= 32,= 32,32,358239,358678,359148,32,19880,150559,293832,96299.4173

 bmuta,= 32,= 32,32,358239,358678,359148,32,19880,150559,293832,33852.217

 bmuta,= 32,= 32,32,358239,358678,359148,32,19880,150559,293832,52353.9356

 bmuta,= 32,= 32, liam,= 32,= 32,32,4172,208006,433683,32,4172,208006,433683,131914.4456

 bmuta,= 128,= 4096, bmuta,= 32,= 256,256,177861,281020,377811,256,1,175153,377626,152834.1797

 bmuta,= 16,= 128,103,642698,706880,726813,118,3710,374109,657271,261847.6785

 bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256, bmuta,= 32,= 256,256,177861,281020,377811,256,1,175153,377626,49249.5157

 bmuta,= 32,= 256, bmuta,= 16,= 128, bmuta,= 32,= 256,256,177861,281020,377811,256,1,175153,377626,379129.2303

 bmuta,= 128,= 4096, bmuta,= 128,= 4096,4096,1859,103509,183090,4096,0,96865,179911,102633.0579

 bmuta,= 128,= 4096,4096,1859,103509,183090,4096,0,96865,179911,109715.5033

 bmuta,= 128,= 4096,2930,7226,110513,148088,4096,0,44217,112336,25006.9603

 bmuta,= 128,= 4096,4096,5465,113436,174368,4096,0,57427,171659,54912.352

 bmuta,= 128,= 4096,4096,5465,113436,174368,4096,0,57427,171659,196514.4597

 bmuta,= 128,= 4096,4096,5465,113436,174368,4096,0,57427,171659,42853.4747

 bmuta,= 128,= 4096,4096,5465,113436,174368,4096,0,57427,171659,45833.0938

 bmuta,= 128,= 4096, bmuta,= 128,= 4096,4096,5465,113436,174368,4096,0,57427,171659,43212.277

 bmuta,= 32,= 2048,2029,26564,280393,515530,2034,0,237069,510379,28594.9833

 bmuta,= 128,= 4096,4096,5465,113436,174368,4096,0,57427,171659,49717.5187

 bmuta,= 128,= 4096,4096,2792,105339,176264,4096,0,92860,171557,77969.2998

 bmuta,= 128,= 4096,4096,4329,108139,172593,4096,0,71115,166880,36722.6354

 bmuta,= 128,= 4096,4096,4329,108139,172593,4096,0,71115,166880,36519.8341

 bmuta,= 128,= 4096,4096,4329,108139,172593,4096,0,71115,166880,33306.2135

 bmuta,= 128,= 4096,4096,4329,108139,172593,4096,0,71115,166880,31231.4002

 bmuta,= 128,= 4096,4096,4329,108139,172593,4096,0,71115,166880,32276.6069

 bmuta,= 128,= 4096,4096,4329,108139,172593,4096,0,71115,166880,306619.9655

 bmuta,= 128,= 4096,4096,4329,108139,172593,4096,0,71115,166880,33899.0173

 bmuta,= 16,= 32, bmuta,= 128,= 4096,4096,4329,107793,172981,4096,0,71198,168309,31683.8031

 bmuta,= 16,= 32,29,69216,541237,719331,32,6078,279248,554963,486067.9158

 bmuta,= 16,= 32,28,69216,534867,719281,31,6078,271484,554963,7628.4489

 bmuta,= 16,= 32,27,69216,528053,719331,31,6078,271411,554963,7519.2482

 bmuta,= 16,= 128, bmuta,= 16,= 128,116,81677,408127,736317,117,3710,386266,707583,11622.0745

 bmuta,= 16,= 32,32,69216,557886,719328,32,6078,279248,554963,7488.048

 bmuta,= 32,= 256,256,65609,201757,382317,256,1,190549,381775,14430.0925

 bmuta,= 32,= 256,256,65609,201757,382317,256,1,190549,381775,286776.6383

 bmuta,= 16,= 32,30,69216,443516,599172,32,6078,279726,554169,7768.8498

 bmuta,= 16,= 32,27,69216,426667,593157,31,6078,271669,554169,21387.7371

 bmuta,= 16,= 64,58,234866,429711,724915,59,19881,360848,718163,53196.341

 bmuta,= 32,= 32, bmuta,= 32,= 32,32,358239,358678,359148,32,19880,150559,293832,21247.3362

 bmuta,= 32,= 2048, bmuta,= 32,= 2048,2015,2679,309159,509274,2015,0,306339,506497,20529.7316

 bmuta,= 128,= 4096,4096,4946,111141,171968,4096,0,63320,171357,22526.5444

 bmuta,= 16,= 32, bmuta,= 16,= 64, bmuta,= 16,= 128, bmuta,= 16,= 128, bmuta,= 32,= 32, bmuta,= 32,= 64, bmuta,= 32,= 256, bmuta,= 32,= 256,255,65609,201053,382299,255,1,189802,381775,208744.9381

 bmuta,= 16,= 32,28,715499,716891,718345,30,6078,267011,580444,118857.1619

 bmuta,= 16,= 64,48,716064,718268,720692,62,19881,321935,643679,77875.6992

 bmuta,= 32,= 64,64,358203,359811,361436,64,6489,134791,316514,50138.7214

 bmuta,= 32,= 256,256,65609,201757,382317,256,1,190549,381775,13962.0895

 bmuta,= 32,= 128,128,94159,200034,370304,128,3092,167475,354639,10686.0685

 bmuta,= 128,= 4096,4096,616,113719,198947,4096,0,112609,198577,203269.303

 bmuta,= 128,= 4096,4096,4329,107793,172981,4096,0,71198,168309,420282.2941

 bmuta,= 16,= 32,31,9063,374990,666592,31,6078,340769,664490,28922.5854

 bmuta,= 16,= 32,29,9063,360457,718387,29,6078,327647,718286,9219.6591

 bmuta,= 16,= 32,30,9063,387081,721338,30,6078,342355,717223,10639.2682

 bmuta,= 16,= 64,62,38110,336519,649979,62,19881,323510,647838,10795.2692

 bmuta,= 10,= 32,29,117316,506110,1151862,30,20395,470492,1099785,235935.9124

 bmuta,= 10,= 32, bmuta,= 10,= 32,32,6163,31802,51905,32,1686,29390,49936,69404.8449

 bmuta,= 10,= 32,32,2062,12162,21363,32,376,10730,20784,87220.1591

 bmuta,= 10,= 32,32,6163,31802,51905,32,1686,29390,49936,117078.7505

 bmuta,= 10,= 32,32,6163,31921,50821,32,1686,28372,47743,102757.8587

 bmuta,= 10,= 32,32,6163,31921,50821,32,1686,28372,47743,49951.5202

 bmuta,= 10,= 32,32,6163,31921,50821,32,1686,28372,47743,52119.9341

 bmuta,= 10,= 32,32,2062,12162,21363,32,376,10730,20784,47408.7039

 bmuta,= 10,= 32, bmuta,= 32,= 128,128,519,17563,36226,128,102,15635,34745,103147.8612

 bmuta,= 32,= 128,128,1151,15586,26512,128,102,9494,21402,53430.3425

 bmuta,= 10,= 32, bmuta,= 10,= 32, bmuta,= 32,= 128, bmuta,= 32,= 128, bmuta,= 32,= 128,128,1151,15586,26512,128,102,9494,21402,29546.5894

 bmuta,= 32,= 128, bmuta,= 10,= 32, bmuta,= 10,= 32,32,2062,12162,21363,32,376,10730,20784,111135.1124

 bmuta,= 10,= 32,32,2062,12162,21363,32,376,10730,20784,93101.3968

 bmuta,= 16,= 64,64,2708,28212,51010,64,79,25030,47918,33930.2175

 bmuta,= 16,= 64, bmuta,= 10,= 32,32,2062,12162,21363,32,376,10730,20784,37643.0413

 bmuta,= 10,= 32,32,2062,12162,21363,32,376,10730,20784,99107.4353

 bmuta,= 10,= 32,32,2062,12162,21363,32,376,10730,20784,142912.5161

 bmuta,= 10,= 32,32,2062,12162,21363,32,376,10730,20784,161445.4349

 bmuta,= 16,= 64, bmuta,= 32,= 128,128,590,7890,13705,128,1,2622,6307,39359.0523

 bmuta,= 32,= 128, bmuta,= 32,= 128,128,1151,15586,26512,128,102,9494,21402,87298.1596

 bmuta,= 16,= 64,64,815,14819,22649,64,22,7836,17265,135861.2709

 bmuta,= 16,= 64, bmuta,= 16,= 64,64,815,14819,22649,64,22,7836,17265,131290.4416

 bmuta,= 10,= 32,32,2157,12251,19170,32,476,5865,13434,124.8008

 bmuta,= 10,= 32,32,2157,12251,19170,32,476,5865,13434,58593.9756

 bmuta,= 10,= 32, bmuta,= 64,= 1096,900,2333,24590,60660,900,20,14174,56059,2667.6171

 bmuta,= 64,= 1096, bmuta,= 64,= 1096,900,955,19240,39675,900,0,10578,25037,2012.4129

 bmuta,= 64,= 1096, bmuta,= 32,= 128, bmuta,= 32,= 128, bmuta,= 10,= 32, bmuta,= 16,= 32, bmuta,= 16,= 128, bmuta,= 16,= 256, bmuta,= 16,= 256, bmuta,= 16,= 128, bmuta,= 16,= 128, bmuta,= 16,= 128, bmuta,= 16,= 128, bmuta,= 16,= 128,128,235,18292,37547,128,10,17718,37372,81816.364

